id,file,setCode,number,promoGrouping,rarity,bordered_empirical,black_level,left_px,right_px,top_px,band_top_px,emb_score_std,emb_x_std,emb_y_std,emb_score_enc,emb_x_enc,emb_y_enc,top_px_v2
1-1,images/1-1.jpg,1,1,,Uncommon,True,1.0,60,60,66,1907,0.6472,645,1899,0.3569,737,1886,66
1-1-C1,images/1-1-C1.jpg,1,1,C1,Special,False,76.0,-1,-1,-1,-1,0.2659,636,1886,0.4115,634,1900,-1
1-1-D23,images/1-1-D23.jpg,1,1,D23,Special,False,134.0,-1,-1,-1,-1,0.3135,623,1897,0.2124,716,1850,-1
1-1-P1-_TFC,images/1-1-P1-_TFC.jpg,1,1,P1,Special,True,1.0,60,60,67,1907,0.4436,780,1899,0.3144,560,1885,66
1-10,images/1-10.jpg,1,10,,Super Rare,True,1.0,60,60,66,1907,0.6548,641,1900,0.3363,735,1886,66
1-10-C1,images/1-10-C1.jpg,1,10,C1,Special,False,58.0,-1,-1,-1,-1,0.2208,632,1930,0.5246,634,1900,-1
1-10-C2,images/1-10-C2.jpg,1,10,C2,Special,False,39.0,-1,-1,-1,-1,0.1897,735,1912,0.9947,650,1900,-1
1-10-P1,images/1-10-P1.jpg,1,10,P1,Special,True,1.0,60,60,67,1907,0.6321,640,1900,0.3372,557,1886,67
1-10-P3,images/1-10-P3.jpg,1,10,P3,Special,False,86.0,-1,-1,-1,-1,0.3434,780,1899,0.2956,663,1865,-1
1-100,images/1-100.jpg,1,100,,Common,True,1.0,60,60,66,1907,0.7407,647,1900,0.3612,733,1886,66
1-101,images/1-101.jpg,1,101,,Uncommon,True,1.0,61,61,67,1907,0.6469,645,1899,0.3556,737,1885,67
1-102,images/1-102.jpg,1,102,,Common,True,1.0,61,61,67,1906,0.7375,647,1900,0.3603,733,1886,67
1-103,images/1-103.jpg,1,103,,Common,True,1.0,60,60,66,1907,0.7408,647,1900,0.3611,733,1886,66
1-104,images/1-104.jpg,1,104,,Super Rare,True,1.0,60,60,66,1907,0.655,641,1900,0.3366,735,1886,66
1-105,images/1-105.jpg,1,105,,Common,True,1.0,60,60,66,1907,0.7408,647,1900,0.3611,733,1886,66
1-106,images/1-106.jpg,1,106,,Uncommon,True,1.0,60,60,67,1907,0.6472,645,1899,0.3569,737,1886,67
1-107,images/1-107.jpg,1,107,,Rare,True,1.0,60,60,65,1907,0.6222,648,1900,0.353,576,1886,65
1-108,images/1-108.jpg,1,108,,Uncommon,True,1.0,60,60,66,1907,0.6472,645,1899,0.3569,737,1886,66
1-109,images/1-109.jpg,1,109,,Common,True,1.0,60,60,67,1907,0.7408,647,1900,0.3611,733,1886,67
1-11,images/1-11.jpg,1,11,,Uncommon,True,1.0,60,60,66,1907,0.6472,645,1899,0.3569,737,1886,66
1-11-P1,images/1-11-P1.jpg,1,11,P1,Special,True,1.0,60,60,67,1907,0.4486,667,1899,0.3472,756,1885,66
1-110,images/1-110.jpg,1,110,,Common,True,1.0,60,60,67,1907,0.7408,647,1900,0.3611,733,1886,66
1-111,images/1-111.jpg,1,111,,Common,True,1.0,60,60,67,1907,0.7408,647,1900,0.3611,733,1886,67
1-112,images/1-112.jpg,1,112,,Rare,True,1.0,60,60,67,1907,0.6211,647,1900,0.3522,575,1886,67
