id,file,setCode,number,promoGrouping,rarity,bordered_empirical,ok,reason,axis_x,sym_score,area,cx,cy,top_y,bot_y,left_x,right_x,bbox_cx,polarity,txt_ok,txt_reason,txt_top,txt_bot,txt_mid
1-1,images/1-1.jpg,1,1,,Uncommon,True,True,,733.524,0.9985,5264,733.5,1968.226,1929,2008,695,772,733.5,bright,True,,1976.9595,2009.2904,1993.125
1-1-C1,images/1-1-C1.jpg,1,1,C1,Special,False,False,no-symmetry-peak,,0.598,12387,742.703,1981.976,1919,2031,668,855,761.5,bright,True,,1976.7901,2009.2792,1993.0347
1-1-D23,images/1-1-D23.jpg,1,1,D23,Special,False,True,,733.513,0.9806,55014,734.748,1954.801,1866,2031,554,913,733.5,bright,True,,1976.8125,2009.3504,1993.0814
1-1-P1-_TFC,images/1-1-P1-_TFC.jpg,1,1,P1,Special,True,True,,733.38,0.8695,5534,731.394,1971.933,1928,2004,676,791,733.5,bright,True,,1976.6535,2009.0385,1992.846
1-10,images/1-10.jpg,1,10,,Super Rare,True,True,,733.623,0.9919,3452,733.725,1966.878,1929,2007,694,774,734.0,bright,True,,1976.9818,2009.2644,1993.1231
1-10-C1,images/1-10-C1.jpg,1,10,C1,Special,False,True,,717.885,0.9475,8022,717.952,1967.651,1919,2017,669,766,717.5,bright,True,,1976.7839,2009.2712,1993.0275
1-10-C2,images/1-10-C2.jpg,1,10,C2,Special,False,True,,733.5,0.9888,33691,733.373,1984.178,1917,2031,554,913,733.5,dark,True,,1976.8858,2009.2974,1993.0916
1-10-P1,images/1-10-P1.jpg,1,10,P1,Special,True,True,,724.15,0.8801,5304,727.448,1967.562,1925,2011,689,778,733.5,bright,True,,1976.7741,2009.1572,1992.9657
1-10-P3,images/1-10-P3.jpg,1,10,P3,Special,False,False,no-symmetry-peak,,0.7337,26084,721.802,1962.676,1883,2031,594,895,744.5,dark,True,,1976.7701,2009.1008,1992.9354
1-100,images/1-100.jpg,1,100,,Common,True,True,,733.581,0.9851,4485,733.635,1968.069,1930,2005,696,771,733.5,bright,True,,1976.9806,2009.2475,1993.114
1-101,images/1-101.jpg,1,101,,Uncommon,True,True,,733.52,0.9987,5265,733.506,1968.218,1929,2008,695,772,733.5,bright,True,,1976.958,2009.2733,1993.1157
1-102,images/1-102.jpg,1,102,,Common,True,True,,733.581,0.9848,4486,733.63,1968.062,1930,2005,696,771,733.5,bright,True,,1976.9788,2009.3729,1993.1758
1-103,images/1-103.jpg,1,103,,Common,True,True,,733.581,0.9851,4485,733.635,1968.069,1930,2005,696,771,733.5,bright,True,,1976.9488,2009.279,1993.1139
1-104,images/1-104.jpg,1,104,,Super Rare,True,True,,733.623,0.9919,3452,733.725,1966.878,1929,2007,694,774,734.0,bright,True,,1977.2855,2009.1402,1993.2128
1-105,images/1-105.jpg,1,105,,Common,True,True,,733.581,0.9851,4485,733.635,1968.069,1930,2005,696,771,733.5,bright,True,,1976.7956,2009.2783,1993.037
1-106,images/1-106.jpg,1,106,,Uncommon,True,True,,733.524,0.9985,5264,733.5,1968.226,1929,2008,695,772,733.5,bright,True,,1977.0781,2009.2545,1993.1663
1-107,images/1-107.jpg,1,107,,Rare,True,True,,733.677,0.991,4129,733.766,1980.054,1928,2007,686,782,734.0,bright,True,,1976.7715,2009.2543,1993.0129
1-108,images/1-108.jpg,1,108,,Uncommon,True,True,,733.524,0.9985,5264,733.5,1968.226,1929,2008,695,772,733.5,bright,True,,1976.9911,2009.2533,1993.1222
1-109,images/1-109.jpg,1,109,,Common,True,True,,733.581,0.9851,4485,733.635,1968.069,1930,2005,696,771,733.5,bright,True,,1976.9261,2009.2701,1993.0981
1-11,images/1-11.jpg,1,11,,Uncommon,True,True,,733.524,0.9985,5264,733.5,1968.226,1929,2008,695,772,733.5,bright,True,,1976.9459,2009.3006,1993.1233
1-11-P1,images/1-11-P1.jpg,1,11,P1,Special,True,True,,741.528,0.9891,7433,742.055,1969.374,1933,2005,691,799,745.0,bright,True,,1976.7367,2009.209,1992.9728
1-110,images/1-110.jpg,1,110,,Common,True,True,,733.581,0.9851,4485,733.635,1968.069,1930,2005,696,771,733.5,bright,True,,1976.9555,2009.2767,1993.1161
1-111,images/1-111.jpg,1,111,,Common,True,True,,733.581,0.9851,4485,733.635,1968.069,1930,2005,696,771,733.5,bright,True,,1976.9281,2009.3078,1993.1179
1-112,images/1-112.jpg,1,112,,Rare,True,True,,733.677,0.9891,4135,733.831,1980.069,1928,2007,686,782,734.0,bright,True,,1976.9288,2009.4181,1993.1734
1-113,images/1-113.jpg,1,113,,Legendary,True,True,,733.572,0.9965,5477,733.607,1969.601,1924,2008,689,778,733.5,bright,True,,1976.9185,2009.3141,1993.1163
1-114,images/1-114.jpg,1,114,,Rare,True,True,,733.677,0.9891,4135,733.831,1980.069,1928,2007,686,782,734.0,bright,True,,1977.2774,2009.1743,1993.2258
1-115,images/1-115.jpg,1,115,,Legendary,True,True,,733.572,0.9965,5477,733.607,1969.601,1924,2008,689,778,733.5,bright,True,,1976.7683,2009.3094,1993.0389
1-116,images/1-116.jpg,1,116,,Common,True,True,,733.581,0.9851,4485,733.635,1968.069,1930,2005,696,771,733.5,bright,True,,1977.0502,2009.2803,1993.1652
1-117,images/1-117.jpg,1,117,,Uncommon,True,True,,733.524,0.9985,5264,733.5,1968.226,1929,2008,695,772,733.5,bright,True,,1976.727,2009.3089,1993.0179
1-118,images/1-118.jpg,1,118,,Super Rare,True,True,,733.623,0.9919,3452,733.725,1966.878,1929,2007,694,774,734.0,bright,True,,1976.9519,2009.2802,1993.116
1-119,images/1-119.jpg,1,119,,Common,True,True,,733.57,0.9848,4484,733.609,1968.062,1930,2005,696,771,733.5,bright,True,,1976.9065,2009.2995,1993.103
1-12,images/1-12.jpg,1,12,,Uncommon,True,True,,733.524,0.9985,5264,733.5,1968.226,1929,2008,695,772,733.5,bright,True,,1976.9297,2009.4157,1993.1727
1-12-P1,images/1-12-P1.jpg,1,12,P1,Special,True,True,,690.013,0.9674,2883,690.128,1967.262,1928,2009,671,709,690.0,bright,True,,1976.7479,2009.3296,1993.0387
1-120,images/1-120.jpg,1,120,,Common,True,True,,733.581,0.9851,4485,733.635,1968.069,1930,2005,696,771,733.5,bright,True,,1976.9737,2009.3753,1993.1745
1-121,images/1-121.jpg,1,121,,Uncommon,True,True,,733.52,0.9987,5265,733.506,1968.218,1929,2008,695,772,733.5,bright,True,,1976.9317,2009.4157,1993.1737
