id,w,h,search,n_bounds,cx,cy,apothems,fit_rms,strengths,cx_each,cy_each
1-1-C1,1468,2048,open,2,146.299,155.576,67.462;78.915,0.339;0.247,2157;2196,146.111;146.484,155.596;155.557
1-1-D23,1468,2048,open,3,146.623,156.707,57.070;67.150;71.588,0.353;0.247;0.301,1881;1972;1503,146.540;146.311;147.138,156.722;156.740;156.643
1-1-P1-_TFC,1468,2048,open,3,146.672,156.819,57.810;66.531;72.250,0.217;0.131;0.213,2742;2968;2238,146.536;146.544;147.009,156.826;156.793;156.845
1-1,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-10-C1,1468,2048,open,2,146.363,155.552,67.320;78.966,0.277;0.253,2461;2506,146.141;146.582,155.555;155.548
1-10-C2,1468,2048,open,3,146.570,156.806,57.745;66.598;72.038,0.192;0.156;0.351,2867;2980;2051,146.534;146.519;146.694,156.805;156.780;156.843
1-10-P1,1468,2048,open,3,146.680,156.734,57.766;66.577;72.231,0.203;0.150;0.225,2752;2939;1968,146.557;146.540;147.059,156.743;156.719;156.742
1-10-P3,1468,2048,open,3,146.473,156.854,57.759;66.639;72.036,0.206;0.164;0.352,2782;2949;2021,146.439;146.431;146.581,156.841;156.842;156.891
1-10,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-100,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-101,1468,2048,open,2,149.599,155.569,67.611;78.521,0.076;0.122,2907;2910,149.582;149.616,155.555;155.582
1-102,1468,2048,open,3,146.685,156.780,57.763;66.586;72.207,0.201;0.139;0.187,2776;2955;1965,146.555;146.567;147.044,156.786;156.767;156.790
1-103,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-104,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-105,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-106,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-107,1468,2048,open,2,149.598,155.567,67.610;78.520,0.074;0.121,2908;2913,149.581;149.615,155.553;155.581
1-108,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-109,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-11-P1,1468,2048,open,3,146.680,156.734,57.766;66.577;72.231,0.203;0.150;0.225,2752;2939;1968,146.557;146.540;147.059,156.743;156.719;156.742
1-11,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-110,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-111,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-112,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-113,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-114,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-115,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-116,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-117,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-118,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-119,1468,2048,open,2,149.598,155.567,67.610;78.520,0.074;0.121,2908;2913,149.581;149.615,155.553;155.581
1-12-P1,1468,2048,open,3,146.751,156.739,57.109;67.123;71.638,0.376;0.199;0.305,2950;2925;2141,146.533;146.693;147.132,156.739;156.804;156.649
1-12,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-120,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-121,1468,2048,open,2,149.598,155.567,67.610;78.520,0.074;0.121,2908;2913,149.581;149.615,155.553;155.581
1-122,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-123,1468,2048,open,2,149.598,155.567,67.610;78.520,0.074;0.121,2908;2913,149.581;149.615,155.553;155.581
1-124,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-125,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-126,1468,2048,open,2,149.598,155.567,67.610;78.520,0.074;0.121,2908;2913,149.581;149.615,155.553;155.581
1-127,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-128,1468,2048,open,2,149.598,155.567,67.610;78.520,0.074;0.121,2908;2913,149.581;149.615,155.553;155.581
1-129,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-13-P1,1468,2048,open,3,146.751,156.739,57.109;67.123;71.638,0.376;0.199;0.305,2950;2925;2141,146.533;146.693;147.132,156.739;156.804;156.649
1-13,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-130,1468,2048,open,2,149.598,155.567,67.610;78.520,0.074;0.121,2908;2913,149.581;149.615,155.553;155.581
1-131,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-132,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-133,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-134,1468,2048,open,2,149.599,155.569,67.611;78.521,0.076;0.122,2907;2910,149.582;149.616,155.555;155.582
1-135,1468,2048,open,3,146.685,156.780,57.763;66.586;72.207,0.201;0.139;0.187,2776;2955;1965,146.555;146.567;147.044,156.786;156.767;156.790
1-136,1468,2048,open,2,149.599,155.569,67.611;78.521,0.076;0.122,2907;2910,149.582;149.616,155.555;155.582
1-137,1468,2048,open,2,149.598,155.567,67.610;78.520,0.074;0.121,2908;2913,149.581;149.615,155.553;155.581
1-138,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-139,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-14,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-140,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-141,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-142,1468,2048,open,3,146.664,156.797,57.738;66.612;72.180,0.194;0.162;0.186,2784;2938;1932,146.550;146.535;147.025,156.804;156.791;156.795
1-143,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-144,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-145,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-146,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
1-147,1468,2048,open,2,149.598,155.567,67.610;78.520,0.074;0.121,2908;2913,149.581;149.615,155.553;155.581
1-148,1468,2048,open,3,146.675,156.734,57.764;66.578;72.222,0.202;0.149;0.225,2757;2938;1968,146.555;146.538;147.045,156.747;156.716;156.743
